timestamp,__name__,endpoint,job,namespace,pod,prometheus,prometheus_replica,service,value
2021-02-27 00:51:06.661999872+00:00,cluster:memory_usage_bytes:sum,web,prometheus-k8s,openshift-monitoring,prometheus-k8s-0,openshift-monitoring/k8s,prometheus-k8s-0,prometheus-k8s,361297707008
2021-02-27 00:53:36.661999872+00:00,cluster:memory_usage_bytes:sum,web,prometheus-k8s,openshift-monitoring,prometheus-k8s-0,openshift-monitoring/k8s,prometheus-k8s-0,prometheus-k8s,361459359744
2021-02-27 00:56:06.661999872+00:00,cluster:memory_usage_bytes:sum,web,prometheus-k8s,openshift-monitoring,prometheus-k8s-0,openshift-monitoring/k8s,prometheus-k8s-0,prometheus-k8s,360909004800
2021-02-27 00:58:36.661999872+00:00,cluster:memory_usage_bytes:sum,web,prometheus-k8s,openshift-monitoring,prometheus-k8s-0,openshift-monitoring/k8s,prometheus-k8s-0,prometheus-k8s,361219641344
2021-02-27 01:01:06.661999872+00:00,cluster:memory_usage_bytes:sum,web,prometheus-k8s,openshift-monitoring,prometheus-k8s-0,openshift-monitoring/k8s,prometheus-k8s-0,prometheus-k8s,361797873664
2021-02-27 01:03:36.661999872+00:00,cluster:memory_usage_bytes:sum,web,prometheus-k8s,openshift-monitoring,prometheus-k8s-0,openshift-monitoring/k8s,prometheus-k8s-0,prometheus-k8s,362915262464
2021-02-27 01:06:06.661999872+00:00,cluster:memory_usage_bytes:sum,web,prometheus-k8s,openshift-monitoring,prometheus-k8s-0,openshift-monitoring/k8s,prometheus-k8s-0,prometheus-k8s,362498170880
2021-02-27 01:08:36.661999872+00:00,cluster:memory_usage_bytes:sum,web,prometheus-k8s,openshift-monitoring,prometheus-k8s-0,openshift-monitoring/k8s,prometheus-k8s-0,prometheus-k8s,361196068864
2021-02-27 01:11:06.661999872+00:00,cluster:memory_usage_bytes:sum,web,prometheus-k8s,openshift-monitoring,prometheus-k8s-0,openshift-monitoring/k8s,prometheus-k8s-0,prometheus-k8s,360603951104
2021-02-27 01:13:36.661999872+00:00,cluster:memory_usage_bytes:sum,web,prometheus-k8s,openshift-monitoring,prometheus-k8s-0,openshift-monitoring/k8s,prometheus-k8s-0,prometheus-k8s,360768114688
2021-02-27 01:16:06.661999872+00:00,cluster:memory_usage_bytes:sum,web,prometheus-k8s,openshift-monitoring,prometheus-k8s-0,openshift-monitoring/k8s,prometheus-k8s-0,prometheus-k8s,359612772352
2021-02-27 01:18:36.661999872+00:00,cluster:memory_usage_bytes:sum,web,prometheus-k8s,openshift-monitoring,prometheus-k8s-0,openshift-monitoring/k8s,prometheus-k8s-0,prometheus-k8s,359796658176
2021-02-27 01:21:06.661999872+00:00,cluster:memory_usage_bytes:sum,web,prometheus-k8s,openshift-monitoring,prometheus-k8s-0,openshift-monitoring/k8s,prometheus-k8s-0,prometheus-k8s,360187953152
2021-02-27 01:23:36.661999872+00:00,cluster:memory_usage_bytes:sum,web,prometheus-k8s,openshift-monitoring,prometheus-k8s-0,openshift-monitoring/k8s,prometheus-k8s-0,prometheus-k8s,360037859328
2021-02-27 01:26:06.661999872+00:00,cluster:memory_usage_bytes:sum,web,prometheus-k8s,openshift-monitoring,prometheus-k8s-0,openshift-monitoring/k8s,prometheus-k8s-0,prometheus-k8s,360766414848
